step,seed,lr,batch_size,train_loss,val_loss,outputs,test_loss
0,0,0.001,128,3.6986128589774983,3.7128959596157074,"['tsvflbavh|uevya', 'ks|jgjmj|jfo|le']",3.7047212719917297
100,0,0.001,128,2.5925970620746854,2.6353224217891693,"['aocdnouncoumduq', 'lonfloyinwlilll']",2.601986885070801
200,0,0.001,128,0.2707112742752968,0.2855619192123413,"['ahcdcuwjijklmno', 'aonmlkjihgfedcb']",0.2711211293935776
300,0,0.001,128,0.0365912262114542,0.0393479063641279,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.03915179334580898
400,0,0.001,128,0.011993005677256,0.0149917964590713,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.015208302531391382
500,0,0.001,128,0.0055227914966548,0.0088861833210103,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.008269366575405002
600,0,0.001,128,0.0029167273579919,0.0059419990866445,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.005468150251545012
700,0,0.001,128,0.0016305823154641,0.0047094273904804,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.00384845316875726
800,0,0.001,128,0.0010232235400059,0.0036763667303603,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.003227903915103525
900,0,0.001,128,0.000799405392218,0.0032876004261197,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.002697186399018392
1000,0,0.001,128,0.0004572546924832,0.0026065992715302,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.0022318472620099783
2000,0,0.001,128,6.00429393901472e-05,0.0015447018286067,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.0012255648107384332
3000,0,0.001,128,1.969096300382273e-05,0.0012694792494585,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.0009433821214770433
4000,0,0.001,128,8.358236766669713e-06,0.0011040577201129,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.0007974420514074154
5000,0,0.001,128,3.920273092884185e-06,0.0010657573288881,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.0006387541343428893
6000,0,0.001,128,1.9774843282523104e-06,0.0010174803287554,"['abcdefghijklmno', 'aonmlkjihgfedcb']",
7000,0,0.001,128,1.0431953460053442e-06,0.0010191094964966,"['abcdefghijklmno', 'aonmlkjihgfedcb']",
8000,0,0.001,128,5.518820324391815e-07,0.0009877780011038,"['abcdefghijklmno', 'aonmlkjihgfedcb']",
9000,0,0.001,128,3.008232943534207e-07,0.0009636045088541,"['abcdefghijklmno', 'aonmlkjihgfedcb']",
10000,0,0.001,128,1.619845217284871e-07,0.0009565389251235,"['abcdefghijklmno', 'aonmlkjihgfedcb']",
0,1,0.001,128,3.698461040665832,3.692621856927872,"['lheuoygzrkierai', 'ltfiummucaijeaf']",3.6951969265937805
100,1,0.001,128,3.1650561260271677,3.169591635465622,"['aooulmyohvuejrn', 'aonmejjuaamemae']",3.176417350769043
200,1,0.001,128,1.676253937467744,1.6658859103918076,"['adlcjfagnjeehhi', 'amnmekjiogjedon']",1.6889795362949371
300,1,0.001,128,0.0725268340091916,0.0749474475160241,"['abcdefggijklmno', 'aonmlkjihgfedcb']",0.0799377579241991
400,1,0.001,128,0.016112348088358,0.0201778194168582,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.021918875630944967
500,1,0.001,128,0.0067319278487393,0.0110845561721362,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.01098088943399489
600,1,0.001,128,0.0031906291945613,0.0064903647871688,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.006970858899876475
700,1,0.001,128,0.0019377870197832,0.0048121201689355,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.0057126309257000685
800,1,0.001,128,0.0010894357530353,0.0038355536817107,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.0047815542202442884
900,1,0.001,128,0.0007724330378873,0.0032338901510229,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.003992059093434364
1000,1,0.001,128,0.0005434441131162,0.0025591372541384,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.003505362430587411
2000,1,0.001,128,6.814172045295303e-05,0.0013192004189477,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.00225271112867631
3000,1,0.001,128,2.1802077782600072e-05,0.0009907486437441,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.0018137563311029226
4000,1,0.001,128,9.259838297791098e-06,0.000894032220458,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.0016429916868219152
5000,1,0.001,128,4.390773929577635e-06,0.0007959987369758,"['abcdefghijklmno', 'aonmlkjihgfedcb']",0.0016615031490800902
6000,1,0.001,128,2.1930037591222503e-06,0.0007753058316666,"['abcdefghijklmno', 'aonmlkjihgfedcb']",
7000,1,0.001,128,1.156150121080171e-06,0.0007421513641929,"['abcdefghijklmno', 'aonmlkjihgfedcb']",
8000,1,0.001,128,6.239178445337276e-07,0.0006662875400706,"['abcdefghijklmno', 'aonmlkjihgfedcb']",
9000,1,0.001,128,3.33373759855033e-07,0.0006592669305973,"['abcdefghijklmno', 'aonmlkjihgfedcb']",
10000,1,0.001,128,1.8381064515186249e-07,0.0006428602447385,"['abcdefghijklmno', 'aonmlkjihgfedcb']",
